raymond_cp,cipla_cp,fortis_cp,jet_cp,titan_cp
811.55,512.4,140.5,247.2,932.15
822.3,512.8,140.75,245.2,931.2
813.9,514.05,140.3,246.2,928.45
814.9,513.65,139.9,245.35,944.05
804.8,510.1,139.4,244.2,946.15
809.2,513.25,139.2,242.8,952.95
816.1,510.2,139.95,253.65,966.7
814.85,511.95,139.9,294.45,959.3
815.2,514.95,139.3,293.7,957.5
815.85,511.5,138.25,269.7,968.3
809.45,509.6,137.9,285.3,961.2
806.95,509.4,136.55,281.2,961.55
805.95,509.25,135.5,276.2,960.95
812.85,507.1,135.45,272.35,962.75
813.9,509.3,135.85,265.5,982.65
796.15,500.7,135.5,265.85,962.15
774.4,507.65,136.35,253.05,969.65
746.65,492.15,135.4,244.8,978.0
763.35,505.05,135.85,243.1,958.65
764.0,505.8,135.5,242.45,966.1
754.35,517.3,135.3,238.05,968.9
742.65,521.35,135.2,255.15,995.8
743.05,509.6,135.2,243.4,991.55
728.5,508.0,134.85,236.2,1025.75
711.1,534.95,134.9,236.85,1066.7
653.7,532.9,134.95,236.6,1059.05
687.55,534.25,134.55,225.95,1056.8
687.75,543.3,135.05,214.1,1053.25
695.1,543.3,134.65,221.15,1056.4
698.4,543.5,135.0,224.25,1066.25
704.55,542.9,134.5,225.9,1050.95
686.35,540.55,134.6,232.55,1042.25
686.75,540.55,134.95,232.3,1039.0
683.6,541.15,134.95,231.95,1027.35
688.5,539.65,135.05,233.2,1028.8
698.65,541.1,136.9,234.85,1032.75
728.15,545.5,135.6,236.45,1042.5
755.2,541.3,135.6,229.05,1041.6
756.8,541.3,136.0,223.7,1043.0
765.35,548.3,135.0,224.3,1038.35
767.75,550.4,134.35,223.5,1016.25
786.2,551.9,134.75,234.05,1025.2
790.9,554.55,134.75,239.1,1021.35
817.45,551.55,134.25,240.6,1035.0
815.15,548.65,134.0,242.25,1055.95
808.15,547.55,135.1,243.25,1043.3
819.8,541.35,134.95,247.4,1053.2
815.35,539.95,135.45,244.9,1069.2
809.4,540.1,141.8,240.85,1086.45
815.7,538.75,139.5,237.8,1078.3
816.15,532.8,136.1,235.15,1086.35
818.5,532.75,137.8,236.75,1097.25
821.3,532.6,136.9,229.25,1101.3
818.0,534.5,136.65,218.55,1109.05
809.9,533.65,136.3,226.05,1102.35
790.1,533.25,136.35,254.1,1102.55
802.35,526.8,136.85,270.9,1102.55
798.95,526.85,136.3,276.65,1100.1
795.0,529.3,137.45,269.2,1115.75
811.5,525.5,136.6,268.8,1116.5
826.1,525.6,135.75,266.1,1134.25
816.7,528.9,136.6,265.0,1141.85
809.2,525.65,137.05,251.75,1120.35
801.2,522.65,136.4,260.3,1111.9
806.45,520.45,136.8,256.1,1100.5
796.9,521.0,136.75,264.25,1106.1
781.45,532.1,135.15,267.4,1106.4
777.85,525.4,135.65,263.1,1104.4
777.4,532.0,135.75,261.15,1098.55
784.15,546.45,136.65,260.85,1100.2
796.7,544.85,138.75,261.7,1105.05
795.15,554.85,141.1,240.5,1097.0
781.25,566.3,141.15,164.85,1090.15
755.4,559.35,140.4,154.7,1120.05
754.95,561.55,139.55,169.75,1125.4
759.05,561.1,139.5,171.15,1123.7
756.7,561.7,139.15,169.75,1129.55
757.05,558.55,138.95,167.45,1149.15
771.65,555.6,139.1,153.35,1141.3
741.25,567.95,138.55,134.25,1137.5
760.3,565.0,137.85,135.5,1158.55
806.05,565.6,137.75,133.4,1138.15
808.95,564.5,136.35,127.3,1145.05
807.1,563.35,135.2,131.35,1082.85
805.3,557.95,133.6,147.4,1086.5
804.4,558.0,133.0,151.75,1088.7
779.35,557.75,131.9,139.1,1104.45
